YEAR,CENSUS BLOCK,Primary Type,ID
2001,0000X E 8TH,CRIM SEXUAL ASSAULT,1
2001,0000X E JACKSON,DECEPTIVE PRACTICE,2
2001,0000X E LAKE,DECEPTIVE PRACTICE,2
2001,0000X E LAKE,MOTOR VEHICLE THEFT,4
2001,0000X E MONROE,DECEPTIVE PRACTICE,1
2001,0000X E VAN BUREN,MOTOR VEHICLE THEFT,1
2001,0000X E WACKER,DECEPTIVE PRACTICE,1
2001,0000X N ASHLAND,INTERFERENCE WITH PUBLIC OFFICER,1
2001,0000X N CLARK,BATTERY,1
2001,0000X N CLINTON,THEFT,1
2001,0000X N DEARBORN,MOTOR VEHICLE THEFT,1
2001,0000X N DESPLAINES,MOTOR VEHICLE THEFT,1
2001,0000X N LA SALLE,THEFT,1
2001,0000X N THROOP,THEFT,1
2001,0000X N WACKER,THEFT,1
2001,0000X S DEARBORN,DECEPTIVE PRACTICE,1
2001,0000X S LA SALLE,DECEPTIVE PRACTICE,1
2001,0000X S LA SALLE,THEFT,1
2001,0000X S MICHIGAN,THEFT,1
2001,0000X S THROOP,THEFT,1
2001,0000X S WABASH,DECEPTIVE PRACTICE,1
2001,0000X W CERMAK,THEFT,1
2001,0000X W CONGRESS,OTHER OFFENSE,1
2001,0000X W MONROE,DECEPTIVE PRACTICE,1
2001,0000X W WASHINGTON,BATTERY,1
2001,0000X W WASHINGTON,DECEPTIVE PRACTICE,3
2001,0000X W WASHINGTON,MOTOR VEHICLE THEFT,1
2001,001XX E WACKER,ASSAULT,1
2001,001XX N CLARK,MOTOR VEHICLE THEFT,1
2001,001XX N ELIZABETH,THEFT,1
2001,001XX N FRANKLIN,DECEPTIVE PRACTICE,1
2001,001XX N HARBOR,THEFT,1
2001,001XX N JEFFERSON,HOMICIDE,1
2001,001XX N LA SALLE,DECEPTIVE PRACTICE,2
2001,001XX N LA SALLE,THEFT,1
2001,001XX N MICHIGAN,DECEPTIVE PRACTICE,2
2001,001XX N MICHIGAN,OTHER OFFENSE,1
2001,001XX N MICHIGAN,THEFT,1
2001,001XX N STATE,THEFT,1
2001,001XX N STETSON,DECEPTIVE PRACTICE,1
2001,001XX N WABASH,DECEPTIVE PRACTICE,1
2001,001XX N WACKER,THEFT,1
2001,001XX N WESTERN,DECEPTIVE PRACTICE,1
2001,001XX S CAMPBELL,CRIMINAL DAMAGE,1
2001,001XX S CANAL,THEFT,1
2001,001XX S CLARK,OTHER OFFENSE,1
2001,001XX S DEARBORN,OTHER OFFENSE,1
2001,001XX S DEARBORN,THEFT,1
2001,001XX S LA SALLE,DECEPTIVE PRACTICE,1
2001,001XX S RIVERSIDE,BATTERY,1
2001,001XX S WABASH,LIQUOR LAW VIOLATION,1
2001,001XX S WACKER,THEFT,1
2001,001XX W JACKSON,DECEPTIVE PRACTICE,1
2001,001XX W SOUTH WATER MARKET,DECEPTIVE PRACTICE,1
2001,001XX W WASHINGTON,DECEPTIVE PRACTICE,1
2001,001XX W WASHINGTON,THEFT,1
2001,002XX E RANDOLPH,DECEPTIVE PRACTICE,1
2001,002XX E WACKER,THEFT,1
2001,002XX N CLARK,DECEPTIVE PRACTICE,1
2001,002XX N CLARK,MOTOR VEHICLE THEFT,1
2001,002XX N JUSTINE,MOTOR VEHICLE THEFT,1
2001,002XX N LA SALLE,DECEPTIVE PRACTICE,1
2001,002XX N LA SALLE,THEFT,2
2001,002XX N MICHIGAN,DECEPTIVE PRACTICE,1
2001,002XX S LA SALLE,DECEPTIVE PRACTICE,1
2001,002XX S MICHIGAN,THEFT,1
2001,002XX S STATE,BATTERY,1
2001,002XX S WACKER,DECEPTIVE PRACTICE,1
2001,002XX W MONROE,THEFT,1
2001,002XX W RANDOLPH,DECEPTIVE PRACTICE,1
2001,002XX W RANDOLPH,THEFT,1
2001,002XX W WACKER,THEFT,1
2001,003XX E WACKER,HOMICIDE,1
2001,003XX N OAKLEY,THEFT,1
2001,003XX N STATE,DECEPTIVE PRACTICE,1
2001,003XX N UNION,MOTOR VEHICLE THEFT,1
2001,003XX S DAMEN,THEFT,1
2001,003XX S MAPLEWOOD,BATTERY,1
2001,003XX S MAPLEWOOD,CRIMINAL DAMAGE,1
2001,003XX S WESTERN,HOMICIDE,1
2001,003XX S WESTERN,THEFT,1
2001,003XX W MADISON,DECEPTIVE PRACTICE,1
2001,004XX E RANDOLPH,DECEPTIVE PRACTICE,1
2001,004XX E RANDOLPH,THEFT,2
2001,004XX S DEARBORN,THEFT,1
2001,004XX S LA SALLE,DECEPTIVE PRACTICE,1
2001,005XX S DEARBORN,DECEPTIVE PRACTICE,1
2001,005XX W 15TH,MOTOR VEHICLE THEFT,1
2001,005XX W MADISON,DECEPTIVE PRACTICE,1
2001,005XX W MADISON,THEFT,1
2001,005XX W ROOSEVELT,MOTOR VEHICLE THEFT,1
2001,005XX W TAYLOR,THEFT,1
2001,006XX S DEARBORN,THEFT,1
2001,006XX S HOYNE,MOTOR VEHICLE THEFT,1
2001,006XX S WELLS,OFFENSE INVOLVING CHILDREN,1
2001,006XX W MADISON,THEFT,2
2001,007XX S HALSTED,THEFT,1
2001,007XX S MICHIGAN,NARCOTICS,1
2001,007XX S WABASH,DECEPTIVE PRACTICE,1
2001,007XX S WABASH,MOTOR VEHICLE THEFT,1
2001,007XX S WELLS,THEFT,1
2001,007XX W JACKSON,MOTOR VEHICLE THEFT,1
2001,008XX S CLAREMONT,DECEPTIVE PRACTICE,1
2001,008XX S LYTLE,HOMICIDE,1
2001,008XX S MAY,SEX OFFENSE,1
2001,008XX S PARK,THEFT,1
2001,008XX S WELLS,DECEPTIVE PRACTICE,1
2001,008XX W ADAMS,MOTOR VEHICLE THEFT,1
2001,008XX W KINZIE,HOMICIDE,1
2001,008XX W LAKE,MOTOR VEHICLE THEFT,1
2001,009XX S ASHLAND,THEFT,1
2001,009XX S BELL,OTHER OFFENSE,1
2001,009XX S WESTERN,ROBBERY,1
