RestaurantName,Sentiment Labels,Review Rating
Harry's Hot Dogs,Positive: 0.4 Negative: 0.6,4
Terzo Piano,Positive: 0.41935483870967744 Negative: 0.5806451612903226,3
Delmonico,Positive: 0.3 Negative: 0.7,4
Roti Mediterranean Grill,Positive: 0.75 Negative: 0.25,4
Chipotle Mexican Grill,Positive: 0.4444444444444444 Negative: 0.5555555555555556,4
Mei's Kitchen,Positive: 0.0 Negative: 1.0,3
Au Bon Pain,Positive: 0.375 Negative: 0.625,3
Corner Bakery Cafe,Positive: 0.25 Negative: 0.75,3
Cajun Grill At Union Station,Positive: 0.0 Negative: 1.0,2
IPO,Positive: 0.3333333333333333 Negative: 0.6666666666666666,4
A' Cappella Bistro,Positive: 0.125 Negative: 0.875,2
Tesori,Positive: 0.3333333333333333 Negative: 0.6666666666666666,4
Sopraffina,Positive: 0.6363636363636364 Negative: 0.36363636363636365,4
Hackney's Printers' Row,Positive: 0.6629213483146067 Negative: 0.33707865168539325,4
Off-Track Betting-Otb,Positive: 0.5 Negative: 0.5,5
Patty Burger,Positive: 0.3125 Negative: 0.6875,3
Custom House Tavern,Positive: 0.7901234567901234 Negative: 0.20987654320987653,4
Au Bon Pain,Positive: 0.25 Negative: 0.75,3
Spa Cafe,Positive: 0.625 Negative: 0.375,4
The Grille on State,Positive: 0.0 Negative: 1.0,2
BomBon 4,Positive: 0.9333333333333333 Negative: 0.06666666666666667,5
Au Bon Pain,Positive: 0.0 Negative: 1.0,3
Encore Liquid Lounge,Positive: 0.6956521739130435 Negative: 0.30434782608695654,4
Harold's Chicken Shack No 77,Positive: 0.0 Negative: 1.0,3
Cafecito,Positive: 0.8303571428571429 Negative: 0.16964285714285715,5
Chicago Windy House,Positive: 0.3333333333333333 Negative: 0.6666666666666666,4
Giordano's Pizzeria,Positive: 0.2222222222222222 Negative: 0.7777777777777778,3
Roti Mediterranean Grill,Positive: 0.6666666666666666 Negative: 0.3333333333333333,4
Around the Corner,Positive: 0.5 Negative: 0.5,5
Protein Bar,Positive: 0.8 Negative: 0.2,4
Roti Mediterranean Grill,Positive: 0.7333333333333333 Negative: 0.26666666666666666,4
Corner Bakery Cafe,Positive: 0.375 Negative: 0.625,3
Lockwood,Positive: 0.48484848484848486 Negative: 0.5151515151515151,4
10 & 30 Sundry,Positive: 0.0 Negative: 1.0,3
M Burger,Positive: 0.25 Negative: 0.75,3
Au Bon Pain Company,Positive: 0.0 Negative: 1.0,3
Corner Bakery Cafe,Positive: 0.5333333333333333 Negative: 0.4666666666666667,4
Falafill,Positive: 0.6666666666666666 Negative: 0.3333333333333333,5
Protein Bar,Positive: 0.5454545454545454 Negative: 0.45454545454545453,4
Halsted Street Deli,Positive: 0.6 Negative: 0.4,3
Mezza Grilled Wraps and Pitas,Positive: 0.75 Negative: 0.25,4
MySpa Chicago,Positive: 0.0 Negative: 1.0,4
Potbelly's,Positive: 0.7368421052631579 Negative: 0.2631578947368421,4
Nicola's Pizzeria,Positive: 0.42857142857142855 Negative: 0.5714285714285714,4
Tokyo Lunch Boxes & Catering,Positive: 0.25 Negative: 0.75,3
Jimmy John's,Positive: 0.8 Negative: 0.2,4
Cellars Market,Positive: 0.6 Negative: 0.4,4
Flo & Santos,Positive: 0.7321428571428571 Negative: 0.26785714285714285,4
Caffecafe,Positive: 0.2857142857142857 Negative: 0.7142857142857143,3
U Food Grill,Positive: 0.0 Negative: 1.0,3
Max's Take Out,Positive: 0.7307692307692307 Negative: 0.2692307692307692,4
Arby's,Positive: 0.5 Negative: 0.5,3
Chen's Chinese Express,Positive: 0.5 Negative: 0.5,3
