Sentiment Lables,Average Review Rating
Positive: 0.4 Negative: 0.6,4
Positive: 0.41935483870967744 Negative: 0.5806451612903226,3
Positive: 0.3 Negative: 0.7,4
Positive: 0.75 Negative: 0.25,4
Positive: 0.4444444444444444 Negative: 0.5555555555555556,4
Positive: 0.0 Negative: 1.0,3
Positive: 0.375 Negative: 0.625,3
Positive: 0.25 Negative: 0.75,3
Positive: 0.0 Negative: 1.0,2
Positive: 0.3333333333333333 Negative: 0.6666666666666666,4
Positive: 0.125 Negative: 0.875,2
Positive: 0.3333333333333333 Negative: 0.6666666666666666,4
Positive: 0.6363636363636364 Negative: 0.36363636363636365,4
Positive: 0.6629213483146067 Negative: 0.33707865168539325,4
Positive: 0.5 Negative: 0.5,5
Positive: 0.3125 Negative: 0.6875,3
Positive: 0.7901234567901234 Negative: 0.20987654320987653,4
Positive: 0.25 Negative: 0.75,3
Positive: 0.625 Negative: 0.375,4
Positive: 0.0 Negative: 1.0,2
Positive: 0.9333333333333333 Negative: 0.06666666666666667,5
Positive: 0.0 Negative: 1.0,3
Positive: 0.6956521739130435 Negative: 0.30434782608695654,4
Positive: 0.0 Negative: 1.0,3
Positive: 0.8303571428571429 Negative: 0.16964285714285715,5
Positive: 0.3333333333333333 Negative: 0.6666666666666666,4
Positive: 0.2222222222222222 Negative: 0.7777777777777778,3
Positive: 0.6666666666666666 Negative: 0.3333333333333333,4
Positive: 0.5 Negative: 0.5,5
Positive: 0.8 Negative: 0.2,4
Positive: 0.7333333333333333 Negative: 0.26666666666666666,4
Positive: 0.375 Negative: 0.625,3
Positive: 0.48484848484848486 Negative: 0.5151515151515151,4
Positive: 0.0 Negative: 1.0,3
Positive: 0.25 Negative: 0.75,3
Positive: 0.0 Negative: 1.0,3
Positive: 0.5333333333333333 Negative: 0.4666666666666667,4
Positive: 0.6666666666666666 Negative: 0.3333333333333333,5
Positive: 0.5454545454545454 Negative: 0.45454545454545453,4
Positive: 0.6 Negative: 0.4,3
Positive: 0.75 Negative: 0.25,4
Positive: 0.0 Negative: 1.0,4
Positive: 0.7368421052631579 Negative: 0.2631578947368421,4
Positive: 0.42857142857142855 Negative: 0.5714285714285714,4
Positive: 0.25 Negative: 0.75,3
Positive: 0.8 Negative: 0.2,4
Positive: 0.6 Negative: 0.4,4
Positive: 0.7321428571428571 Negative: 0.26785714285714285,4
Positive: 0.2857142857142857 Negative: 0.7142857142857143,3
Positive: 0.0 Negative: 1.0,3
Positive: 0.7307692307692307 Negative: 0.2692307692307692,4
Positive: 0.5 Negative: 0.5,3
Positive: 0.5 Negative: 0.5,3
Positive: 0.6363636363636364 Negative: 0.36363636363636365,4
Positive: 0.5 Negative: 0.5,4
Positive: 0.2 Negative: 0.8,4
Positive: 0.0 Negative: 1.0,2
Positive: 0.3157894736842105 Negative: 0.6842105263157895,3
Positive: 0.40789473684210525 Negative: 0.5921052631578947,3
Positive: 0.625 Negative: 0.375,4
Positive: 0.25 Negative: 0.75,2
Positive: 0.25 Negative: 0.75,4
Positive: 0.1111111111111111 Negative: 0.8888888888888888,2
Positive: 0.0 Negative: 1.0,3
Positive: 0.4 Negative: 0.6,4
Positive: 0.21428571428571427 Negative: 0.7857142857142857,3
Positive: 0.6363636363636364 Negative: 0.36363636363636365,4
Positive: 0.7931034482758621 Negative: 0.20689655172413793,4
Positive: 0.7865168539325843 Negative: 0.21348314606741572,4
Positive: 0.0 Negative: 1.0,4
Positive: 0.0 Negative: 1.0,3
Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Positive: 0.25 Negative: 0.75,4
