,CENSUS BLOCK,NUMBER OF LIQUOR LICENSES,NUMBER OF CRIMES,NUMBER OF ARRESTS
24,0000X E MONROE,108,1700,419
34,0000X E WACKER,134,1174,229
82,0000X W MONROE,105,761,111
89,0000X W WACKER,125,967,222
120,001XX E WACKER,157,1781,473
144,001XX N STATE,186,10629,6205
169,001XX S HALSTED,176,678,266
179,001XX S MICHIGAN,150,1507,186
190,001XX S WESTERN,322,301,144
198,001XX W ADAMS,106,675,145
241,002XX E RANDOLPH,118,856,99
250,002XX N COLUMBUS,133,934,155
271,002XX S HALSTED,155,387,105
334,003XX N DEARBORN,268,18,1
355,003XX S HALSTED,109,309,70
620,007XX S MICHIGAN,156,1034,224
701,008XX W RANDOLPH,154,518,69
1034,014XX W TAYLOR,107,523,98
1327,019XX W MADISON,100,1040,504
