,CENSUS BLOCK,NUMBER OF LIQUOR LICENSES,NUMBER OF CRIMES,NUMBER OF ARRESTS
7,0000X E ADAMS,50,1155,308
13,0000X E CHICAGO,45,1,1
21,0000X E JACKSON,69,2079,522
22,0000X E LAKE,38,1448,366
23,0000X E MADISON,36,1169,275
24,0000X E MONROE,108,1700,419
34,0000X E WACKER,134,1175,229
39,0000X N DEARBORN,29,865,90
43,0000X N MICHIGAN,36,1537,165
48,0000X N WACKER,64,492,52
49,0000X N WELLS,26,288,58
52,0000X S DEARBORN,33,644,78
57,0000X S MICHIGAN,60,654,72
61,0000X S WABASH,46,1100,140
62,0000X S WACKER,71,522,47
66,0000X W ADAMS,62,299,44
78,0000X W JACKSON,43,999,280
82,0000X W MONROE,105,761,111
85,0000X W POLK,35,216,34
86,0000X W RANDOLPH,52,1178,255
89,0000X W WACKER,125,967,222
90,0000X W WASHINGTON,55,2310,358
118,001XX E RANDOLPH,35,496,47
120,001XX E WACKER,157,1781,473
129,001XX N DEARBORN,43,776,118
132,001XX N GREEN,42,285,29
140,001XX N MICHIGAN,71,1613,228
144,001XX N STATE,186,10632,6207
145,001XX N WABASH,36,1001,184
146,001XX N WACKER,43,623,44
161,001XX S CLINTON,34,284,66
168,001XX S GREEN,41,139,19
169,001XX S HALSTED,176,678,266
179,001XX S MICHIGAN,150,1507,186
182,001XX S RIVERSIDE,28,167,32
185,001XX S STATE,27,1602,613
188,001XX S WABASH,34,738,270
189,001XX S WACKER,50,505,50
190,001XX S WESTERN,322,302,144
198,001XX W ADAMS,106,675,145
207,001XX W JACKSON,73,1073,217
215,001XX W RANDOLPH,71,882,140
241,002XX E RANDOLPH,118,856,99
243,002XX E WACKER,30,202,21
250,002XX N COLUMBUS,133,936,155
258,002XX N MICHIGAN,58,1814,284
261,002XX N STATE,44,1127,402
263,002XX N WABASH,71,393,80
267,002XX S CANAL,38,1992,664
271,002XX S HALSTED,155,387,105
274,002XX S MICHIGAN,96,1105,135
276,002XX S WABASH,28,1130,396
277,002XX S WACKER,93,937,92
295,002XX W JACKSON,49,768,132
297,002XX W LAKE,43,518,79
308,002XX W WACKER,30,215,16
329,003XX E WACKER,92,573,106
333,003XX N CLARK,55,26,2
334,003XX N DEARBORN,268,18,1
337,003XX N HALSTED,29,564,100
338,003XX N JEFFERSON,26,312,20
343,003XX N MICHIGAN,29,1409,226
346,003XX N ORLEANS,78,9,1
348,003XX N STATE,60,354,61
349,003XX N WABASH,27,160,11
355,003XX S HALSTED,109,309,70
359,003XX S PLYMOUTH,45,175,30
361,003XX S RACINE,26,119,26
436,004XX S CLARK,28,420,146
444,004XX S WELLS,43,260,73
497,005XX S DEARBORN,48,423,85
500,005XX S MICHIGAN,89,574,188
519,005XX W HARRISON,27,984,154
523,005XX W MADISON,86,2190,610
567,006XX S ASHLAND,63,73,11
571,006XX S DEARBORN,37,358,106
572,006XX S MICHIGAN,83,539,106
575,006XX S WABASH,68,753,209
589,006XX W RANDOLPH,46,255,33
619,007XX S DEARBORN,43,258,31
620,007XX S MICHIGAN,156,1034,224
621,007XX S STATE,26,372,84
639,007XX W MAXWELL,43,102,21
640,007XX W RANDOLPH,38,160,26
669,008XX S CANAL,28,122,9
674,008XX S MICHIGAN,33,373,89
692,008XX W FULTON,29,313,63
697,008XX W LAKE,35,524,98
701,008XX W RANDOLPH,154,518,69
731,009XX S WESTERN,26,233,67
747,009XX W FULTON,50,195,38
756,009XX W RANDOLPH,33,236,33
807,010XX W MADISON,34,359,51
808,010XX W MONROE,30,141,19
813,010XX W TAYLOR,50,253,35
816,010XX W WASHINGTON,56,213,14
871,011XX W MADISON,50,341,53
873,011XX W RANDOLPH,36,255,44
874,011XX W TAYLOR,48,416,60
909,012XX S WABASH,29,3636,2283
922,012XX W RANDOLPH,26,299,38
945,013XX S HALSTED,42,218,37
951,013XX S WABASH,62,610,86
968,013XX W MADISON,41,307,49
973,013XX W RANDOLPH,44,554,38
975,013XX W TAYLOR,74,320,66
1006,014XX S MICHIGAN,51,560,69
1027,014XX W LAKE,55,939,248
1033,014XX W RANDOLPH,61,221,18
1034,014XX W TAYLOR,107,523,98
1093,015XX W TAYLOR,46,330,108
1158,016XX W JACKSON,40,365,83
1187,017XX S MICHIGAN,35,380,75
1327,019XX W MADISON,100,1040,504
1414,021XX S WABASH,27,750,397
1454,022XX S DR MARTIN LUTHER KING JR,72,594,109
1519,023XX W TAYLOR,26,259,72
