A,CENSUS BLOCK,NUMBER OF LIQUOR LICENSES,NUMBER OF CRIMES,NUMBER OF ARRESTS
1,0000X E 14TH,9,162,34
2,0000X E 16TH,6,187,19
3,0000X E 21ST,6,199,62
6,0000X E 9TH,1,263,50
8,0000X E BALBO,7,178,43
30,0000X E RIVERWALK,8,18,6
31,0000X E ROOSEVELT,5,1986,1042
37,0000X N CARPENTER,2,39,2
40,0000X N FRANKLIN,4,181,20
45,0000X N RIVERSIDE,3,105,16
46,0000X N STATE,2,7136,3893
47,0000X N WABASH,10,679,114
53,0000X S FRANKLIN,4,188,17
54,0000X S HALSTED,9,580,291
58,0000X S MORGAN,2,62,6
59,0000X S RIVERSIDE,6,128,10
60,0000X S STATE,5,2779,1181
64,0000X W 26TH,5,18,5
74,0000X W HARRISON,2,96,15
87,0000X W RIVERWALK,7,27,7
99,001XX E 23RD,2,50,3
107,001XX E CONGRESS,2,63,16
112,001XX E LAKE,1,117,13
123,001XX N ADA,1,131,6
126,001XX N CLARK,5,804,107
128,001XX N COLUMBUS,3,65,11
130,001XX N FIELD,10,19,3
133,001XX N HALSTED,9,226,49
139,001XX N MAY,8,74,9
142,001XX N RIVERSIDE,6,66,16
143,001XX N SANGAMON,1,381,45
158,001XX S CANAL,7,279,82
160,001XX S CLARK,3,393,52
162,001XX S COLUMBUS,4,80,29
209,001XX W LAKE,3,2234,1012
216,001XX W RIVERWALK,2,12,9
217,001XX W ROOSEVELT,2,219,45
221,001XX W WACKER,1,231,35
225,002XX E 18TH,4,29,3
230,002XX E CERMAK,3,29,5
242,002XX E RIVERWALK,8,2,1
248,002XX N CLARK,1,605,114
252,002XX N HALSTED,4,133,20
254,002XX N JEFFERSON,10,158,14
264,002XX N WELLS,3,279,26
265,002XX N WOOD,1,26,5
268,002XX S CLARK,10,175,26
269,002XX S COLUMBUS,5,145,23
270,002XX S DEARBORN,10,704,239
278,002XX S WELLS,6,129,17
285,002XX W ADAMS,3,625,87
309,002XX W WASHINGTON,7,780,87
322,003XX E MONROE,7,198,44
327,003XX E RIVERWALK,2,17,1
335,003XX N DESPLAINES,10,355,73
336,003XX N GREEN,1,309,20
339,003XX N JUSTINE,1,106,5
342,003XX N LEAVITT,10,57,2
345,003XX N OGDEN,1,119,8
347,003XX N SANGAMON,9,148,35
351,003XX S CLINTON,5,123,15
356,003XX S JEFFERSON,5,123,15
358,003XX S MICHIGAN,3,599,120
362,003XX S RIVERSIDE,7,113,14
364,003XX S WABASH,8,265,48
386,003XX W RANDOLPH,10,146,13
438,004XX S FINANCIAL,9,86,38
439,004XX S HALSTED,1,186,60
443,004XX S WABASH,4,315,69
496,005XX S COLUMBUS,8,306,128
501,005XX S RACINE,8,49,8
511,005XX W ADAMS,4,323,37
520,005XX W JACKSON,9,359,28
521,005XX W KINZIE,6,190,12
