q,CENSUS BLOCK,NUMBER OF LIQUOR LICENSES,NUMBER OF CRIMES,NUMBER OF ARRESTS
1,0000X E 14TH,9,162,34
2,0000X E 16TH,6,187,19
3,0000X E 21ST,6,199,62
6,0000X E 9TH,1,263,50
8,0000X E BALBO,7,178,43
11,0000X E CERMAK,12,413,133
14,0000X E CONGRESS,14,537,74
30,0000X E RIVERWALK,8,18,6
31,0000X E ROOSEVELT,5,1986,1042
36,0000X E WASHINGTON,17,1171,130
37,0000X N CARPENTER,2,39,2
38,0000X N CLARK,13,312,50
40,0000X N FRANKLIN,4,181,20
41,0000X N HALSTED,14,1044,757
45,0000X N RIVERSIDE,3,105,16
46,0000X N STATE,2,7138,3893
47,0000X N WABASH,10,679,114
50,0000X S CLARK,13,369,78
51,0000X S CLINTON,11,121,9
53,0000X S FRANKLIN,4,188,17
54,0000X S HALSTED,9,580,291
58,0000X S MORGAN,2,62,6
59,0000X S RIVERSIDE,6,128,10
60,0000X S STATE,5,2780,1181
64,0000X W 26TH,5,18,5
74,0000X W HARRISON,2,96,15
80,0000X W MADISON,14,483,57
87,0000X W RIVERWALK,7,27,7
99,001XX E 23RD,2,50,3
107,001XX E CONGRESS,2,63,16
112,001XX E LAKE,1,117,13
113,001XX E MONROE,12,119,32
122,001XX N ABERDEEN,11,117,13
123,001XX N ADA,1,131,6
124,001XX N CANAL,12,289,27
125,001XX N CARPENTER,13,127,11
126,001XX N CLARK,5,805,107
127,001XX N CLINTON,22,348,101
128,001XX N COLUMBUS,3,65,11
130,001XX N FIELD,10,19,3
131,001XX N FRANKLIN,18,471,38
133,001XX N HALSTED,9,226,49
134,001XX N HARBOR,24,515,46
135,001XX N JEFFERSON,25,444,38
139,001XX N MAY,8,74,9
141,001XX N MORGAN,14,111,19
142,001XX N RIVERSIDE,6,66,16
143,001XX N SANGAMON,1,381,45
147,001XX N WELLS,18,623,120
148,001XX N WILLARD,14,39,1
149,001XX S ASHLAND,17,147,14
158,001XX S CANAL,7,279,82
160,001XX S CLARK,3,393,52
162,001XX S COLUMBUS,4,80,29
209,001XX W LAKE,3,2235,1012
210,001XX W MADISON,15,808,128
211,001XX W MONROE,13,360,39
216,001XX W RIVERWALK,2,12,9
217,001XX W ROOSEVELT,2,219,45
221,001XX W WACKER,2,231,35
222,001XX W WASHINGTON,14,654,81
225,002XX E 18TH,4,29,3
230,002XX E CERMAK,3,29,5
242,002XX E RIVERWALK,8,2,1
246,002XX N ASHLAND,18,284,46
247,002XX N CANAL,12,180,21
248,002XX N CLARK,1,605,114
249,002XX N CLINTON,14,214,19
251,002XX N DEARBORN,13,364,87
252,002XX N HALSTED,4,133,20
254,002XX N JEFFERSON,10,158,14
259,002XX N PEORIA,12,67,12
262,002XX N STETSON,11,174,15
264,002XX N WELLS,3,279,26
265,002XX N WOOD,1,26,5
